"Reference","Speaker","Codes","Discourse","Context","C1","C2_","_C3","S1","S2_","S3_"
124233,"75ccm1",1222,"guided","un bureau de0112 représentation qui est un tout pe0212tit euh enfin","d","R","p",0,1,0
124244,"75ccr1",1122,"guided","suis passée directe1322ment en faculté en deuxi","?","?","s","?","?",1
124262,"75clb1",1122,"guided",": Un peu plus0412 dedix0411 ans dans le0112 contrôle0412 de1122 gest","s","d","d",1,0,0
124266,"75clb1",1122,"guided","112 contrôle0412 degestion. E : Hum hum.","l","d","ʒ",3,0,1
124269,"75clb1",1122,"guided","nc0412 moi je0112 mesuis spécialisée dans le0112 contrôle0412 de11","ʒ","m","s",1,2,1
124287,"75csb1",1422,"guided","eu euh de1112 courtedurée et de1212puis mes vingt0412 quatre0421 ans","R","t","d",1,0,0
124353,"75ccm1",1122,"guided","tait analyste0422 decrédit ça c'était à  la (X) en stage0412 penda","t","d","k",0,0,0
124354,"75ccm1",422,"guided","2s c'était analystede1122 crédit ça c'était à  la (X) en stage041","s","t","d",1,0,0
124355,"75ccm1",422,"guided","h donc0412 les postes c'était analyste0422 de1122 crédit ça c'étai","s","t","s",1,0,1
124362,"75ccm1",1122,"guided","je1112/ j'ai fait jebossais que1112 dans la/ dans les banque0413s.","t","ʒ","b",0,1,0
124365,"75ccm1",1422,"guided","CM : Analystede1112 crédit.","s","t","d",1,0,0
124368,"75ccr1",1122,"guided","CR : Ensuite0412 jesuis je0112 suis pas allée en khâgne0412 je1122","t","ʒ","s",0,1,1
124375,"75ccr1",1122,"guided","ne0412 classe0412 deprépara/ une0412 classe0412 préparatoire0413. E","s","d","p",1,0,0
124412,"75clb1",1122,"guided","t par exemp0452le dela comptabilité de1112 la gestion du marketing04","l","d","l",3,0,3
124484,"75ccm1",1422,"guided","ce0412 parce0312 queje0112 voulais changer un peu de0112 boulot.","s","k","ʒ",1,0,1
124488,"75ccr1",1122,"guided","12s jesais oh.","?","ʒ","s","?",1,1
182404,"75ccb2",122,"free","en de1211hor0412s deson pantalon mais ça va pas durer vingt se0212co","R","d","s",1,0,1
182412,"75ccb2",1122,"free","as les meuf0412s del'autre0423.","f","d","l",1,0,3
182420,"75ccb2",1422,"free","le0412 parce0312 quetu avais des.","s","k","t",1,0,0
182428,"75ccb2",1122,"free","ner des cour0412s de/ de1112 rock0413.","R","d"," d",1,0,0
182434,"75ccb2",422,"free","ont genre0411 entrevingt0411 et vingt0412-cinq0411 ans et qui eux vi","t","R","v",0,1,1
182448,"75ccb2",1122,"free",": On va dire0412 dedix0411-huit0411 heure0411s à  vingt0412-deux heu","R","d","d",1,0,0
182453,"75ccb2",1122,"free","rallye cour0412s dedanse0412 c'est genre0412 de1121 euh.","R","d","d",1,0,0
182464,"75ccb2",1122,"free","rallye cour0412s dedanse0413.","R","d","d",1,0,0
182465,"75ccb2",422,"free","le0112 rallye bridgetu as le0112 rallye cour0412s de1122 danse0413.","d","ʒ","t",0,1,0
182471,"75ccb2",1122,"free","2 fréquence0412 queles soirées de0112 rallye.","s","k","l",1,0,3
182487,"75ccb2",1122,"free","12 les mère0412s debonne0412s famille0413s.","R","d","b",1,0,0
182491,"75ccb2",1122,"free","ais en groupe0412 dedix0411 entourés par0412 les mère0412s","p","d","d",0,0,0
182497,"75ccb2",1122,"free","est-à -dire0412 quele0112 same0312di après-midi>","R","k","l",1,0,3
182522,"75ccb2",1122,"free","du seizième0412 lerallye ben tu connais le0112 principe0412 du rall","m","l","R",2,3,1
182527,"75ccb2",1122,"free","t les course0422s devoiture0412s tu vois>","s","d","v",1,0,1
182528,"75ccb2",422,"free","c'était les courses de1122 voiture0412s tu vois>","R","s","d",1,1,0
182530,"75ccb2",1122,"free","c'était que0112 lebridge0422 pour0412 moi rallye c'était les cours","k","l","b",0,3,0
182531,"75ccb2",422,"free","ue0112 le1122 bridgepour0412 moi rallye c'était les course0422s de11","d","ʒ","p",0,1,0
182533,"75ccb2",1122,"free","avais pas ce0112 quec'était que0112 le1122 bridge0422 pour0412 moi r","s","k","s",1,0,1
182538,"75ccb2",1122,"free","avais pas ce0112 queça voulait dire0412 rallye et je0112 savais pas","s","k","s",1,0,1
182542,"75ccb2",1122,"free","ois des truc0412s decool0412 quoi> d'accord.","k","d","k",0,0,0
182551,"75ccb2",422,"free","était des cartables pff","b","l","p!",0,3,"0!"
182555,"75ccb2",422,"free","restait des cartables les Ta/ les Tann's0414 c'était de","b","l","l",0,3,3
182562,"75ccm1",1422,"free","21 eux parce0312 quequarante0411 et l'aut0452re cinquante0412-cinq041","s","k","k",1,0,0
182568,"75ccm1",122,"free","st plus jeune0412 jele1112 tutoie.","n","ʒ","l",2,1,3
182592,"75ccm1",1122,"free","c'est là  que0112 lesaut de génération se1112 se1112 fait","k","l","s",0,3,1
182593,"75ccm1",1122,"free","s peut-êt0452re quetu vois c'est un c'est là  que0112 le1122 saut de","R","k","s",1,0,1
182598,"75ccm1",1122,"free","Je0132 pense0412 quec'est, ouais je0112 sais pas très bien déjà  qu","s","k","s",1,0,1
182606,"75ccm1",1122,"free","quand est-ce0112 queça allait s'arrêter un pe0212tit peu parce0312","s","k","s",1,0,1
182608,"75ccm1",222,"free","suis toujour0412s demandé d'ailleur0412s quand est-ce0112 que1122 ça","R","d","m",1,0,2
182611,"75ccm1",1122,"free","suis toujour0412s de0222mandé d'ailleur0412s qua","?","?","s","?","?",1
182628,"75ccm1",1122,"free","1132 mon âge0412 denotre0421 âge0411 et que1112 je0112 l'ai (X) on","ʒ","d","n",1,0,2
182632,"75ccm1",1122,"free","une0412 bande0412 dejeune0412s de1123.","d","d","ʒ",0,0,1
182643,"75ccm1",1122,"free","us les genre0412s desituation euh si je0112 vais à  le1111/ au mariag","R","d","s",1,0,1
182648,"75ccm1",122,"free","le0112 monde0412 sefait la bise0412 sauf si tu connais bien c'est de","d","s","f",0,1,1
182664,"75ccm1",122,"free","de0112 suite0412 jesais pas si tu as remarqué mais les Français il","t","ʒ","s",0,1,1
182671,"75ccm1",122,"free","0112 mon âge0412 dema génération qui me0112 sont présentées par0","ʒ","d","m",1,0,2
182676,"75ccm1",1122,"free","es personne0412s queje0112 connais pas qui sont à  peu près de0112 m","n","k","ʒ",2,0,1
182683,"75ccm1",1122,"free","res personne0412s demême0412 génération mais euh.","n","d","m",2,0,2
182690,"75ccm1",1122,"free","le1112 genre0412 desituation oà¹ tu te0112 mets à  tutoyer quelqu'un","R","d","s",1,0,1
182712,"75ccr1",1122,"free","mais ensuite0412 jesais pas euh","t","ʒ","s",0,1,1
182716,"75ccr1",1122,"free","le1121 heaume0412 lebouclier. E : Ouais.","m","l","b",2,3,0
182718,"75ccr1",422,"free","R : Si le1112 casquele1121 heaume0412 le1122 bouclier. E : Ouais.","s","k","l",1,0,3
182721,"75ccr1",1122,"free","ent incapab0452le dedécrire0411 euh,","l","d","d",3,0,0
182726,"75ccr1",1122,"free","e0411 élève0412 dede1112 cinquième0413. E : Oui.","v","d"," d",1,0,0
182734,"75ccr1",1122,"free","ne0411 armure0412 deche1212valier euh.","R","d","ʃ",1,0,1
182738,"75ccr1",1122,"free","uis incapab0452le dedécrire0411 une0411 armure0412 de1122 che1212val","l","d","d",3,0,0
182746,"75ccr1",1422,"free","re0422 parce0352 quenon d'abor0411d il y a des expressi","s","k","n",1,0,2
182749,"75ccr1",422,"free","raiment à  apprendreparce0352 que1422 non d'abor0411d i","d","R","p",0,1,0
182757,"75ccr1",422,"free","i être0421 un textedu/ du dix-septième0412 dix0411-huitième0412","s","t","d",1,0,0
182776,"75ccr1",422,"free","s êt0451re un textedu Moyen-Age1413. E : Hum hum.","s","t","d",1,0,0
182779,"75ccr1",1122,"free","grammaticale0412 del'espagnol0413.","l","d","l",3,0,3
182789,"75ccr1",122,"free","c'est de0112 l'espagnol0411 euh.","?","?","s","?","?",1
182803,"75ccr1",1122,"free","1re un poème0412 deRimbaud à  traduire0412 par0411 exe","m","d","R",2,0,1
182821,"75ccr1",1122,"free","2 latin si je0112 lere0212passais.","ʒ","l","R",1,3,1
182830,"75ccr1",1122,"free","lus0411 avoir0412 lelatin ou.","R","l","l",1,3,3
183047,"75clb1",1222,"free","2 pendant une0412 semaine0414, et il0411 a eu son bac0412 du premier c","n","s","m",2,1,2
183052,"75clb1",1222,"free","pendant cette0412 semaine0412 là .","t","s","m",0,1,2
183059,"75clb1",1122,"free","22 piano pour0412 sedétend0452re donc0412 c'était un coup du piano","R","s","d",1,1,0
183061,"75clb1",1122,"free","vait plus que0112 lepiano pour0412 se1122 détend0452re donc0412 c'é","k","l","p",0,3,0
183067,"75clb1",1122,"free","s 'qu'est-ce0112 quetu fais ?'","s","k","t",1,0,0
183071,"75clb1",122,"free","ais descend0452re jelui disais 'qu'est-ce0112 que1122 tu fais ?'","R","j","l",1,4,3
183082,"75clb1",1122,"free","ncé à  faire0412 lemardi.","R","l","m",1,3,2
183091,"75clb1",1122,"free","1 a les cour0412s sesont terminés.","R","s","s",1,1,1
183099,"75clb1",1122,"free","on avait peur0412 dene0112 pas l'avoir0412 quoi","R","d","n",1,0,2
183109,"75clb1",1222,"free","ue1112 ça ne0112 représente0412 plus rien du tout. E : Hum hum.","n","R","p",2,1,0
183118,"75clb1",422,"free",,"t","R","?",0,1,"?"
183120,"75clb1",422,"free",,"t","R","?",0,1,"?"
183143,"75clb1",1122,"free","411 euh pour0412 queleur0411 élève0411 euh.","R","k","l",1,0,3
183155,"75clb1",1422,"free","LB : Parce0352 quemainte0312nant c'est enfin je1112 sais pas si en","s","k","m",1,0,2
183161,"75clb1",1122,"free","pas toujour0412s lecas. E : Hum hum.","R","l","k",1,3,0
183164,"75clb1",1122,"free","s professeur0412s detravailler en commun. E : Hum hum.","R","d","t",1,0,0
183181,"75clb1",422,"free","s je0112 re1222gardes'il0411 a bien je0112 peux lui expliquer pendant","R","d","s",1,0,1
183182,"75clb1",1222,"free","ui et puis je0112 regarde0422 s'il0411 a bien je0112 peux lui explique","ʒ","R","g",1,1,0
183347,"75csb1",1122,"free","2 c'est sûr0412 queça va re0212tomber sur0412 la gueule0412 du stag","R","k","s",1,0,1
183356,"75csb1",1122,"free","12 des tête0412s deTurc0422 c'est une0412 erreur0413.","t","d","t",0,0,0
183357,"75csb1",422,"free","c'est une0412 erreur0413.","?","?","s","?","?",1
183365,"75csb1",1122,"free","es stagiaire0412s sefont facile0312ment passer pour0412 des tête0412","R","s","f",1,1,1
183369,"75csb1",422,"free","ête0412 de1122 Turcquand tu es stagiaire0413","R","k","k",1,0,0
183370,"75csb1",1122,"free","une0412 tête0412 deTurc0422 quand tu es stagiaire0413","t","d","t",0,0,0
183385,"75csb1",1122,"free",": Qu'est-ce0112 quetu veux qu'elle0411 y fasse0412 là > c'est pas qu","s","k","t",1,0,0
183396,"75csb1",1122,"free","er qu'est-ce0112 quefout ce1112 mec0412 qui est à  côté là  qui éc","s","k","f",1,0,1
183399,"75csb1",1122,"free","doit quand même sede0212mander qu'est-ce0112 que1122 fout ce1112 me","m","s","d",2,1,0
183412,"75csb1",1122,"free","0411s en face0412 desoi ?","s","d","s",1,0,1
183415,"75csb1",1122,"free","nant euh pour0412 lecandidat ?>","R","l","k",1,3,0
183428,"75csb1",422,"free","un autre0421 exemplepour0412 donner euh","p","l","p",0,3,0
183440,"75csb1",1422,"free","igoler parce0352 queleur0414, enfin leur0412 responsab0452le R.H.0413","s","k","l",1,0,3
183653,"75ccb2",1222,"free","a/ doudoune0412s Chevignon enfin quasiment tous0412 quoi.","n","ʃ","v",2,1,1
183665,"75ccb2",1122,"free","r jour0412 je0122 mesuis fait brancher sur0412 mon Tann's0412 tu vois","ʒ","m","s",1,2,1
183666,"75ccb2",122,"free","premier jour0412 jeme1122 suis fait brancher sur0412 mon Tann's0412","R","ʒ","m",1,1,2
183690,"75ccb2",1422,"free","u bien parce0312 quedu coup j'avais ben j'avais neuf0411 ans j'allais","s","k","d",1,0,0
183712,"75ccm1",1122,"free","0412 la salle0412 debain quoi> mais il dort ici ou j'ai/ j'ai","l","d","b",3,0,0
183732,"75ccm1",1122,"free","sais pas ce0112 quetu en as pensé de0112 son apparte1322ment mais c","s","k","t",1,0,0
183748,"75ccr1",1122,"free","0411 épreuve0412 decommentaire0413.","v","d","k",1,0,0
183853,"75clb1",1122,"free","r0412s moi je0112 mesouviens quand une0412 des professeur0411s avait","ʒ","m","s",1,2,1
183861,"75clb1",1122,"free","une0411 heure0412 demath0411 en plus0413. E : Hum hum hum hum.","R","d","m",1,0,2
183863,"75clb1",1122,"free","a le0112 plus0412 dedifficultés a une0411 heure0412 de1122 math0411","s","d","d",1,0,0
183867,"75clb1",1122,"free","le1132 groupe0412 le/ le1112 qui a le0112 plus0412 de1122 difficultés","p","l"," l",0,3,3
183875,"75clb1",1122,"free","0412s bouge0412nt deniveaux en fonction si ils ont progressé ou si a","ʒ","d","n",1,0,2
183885,"75clb1",1222,"free","ais à  chaque0412 petite0412 vacance0412 c'est-à -dire0411 en gros tou","k","p","t",0,0,0
183963,"75csb1",1222,"free","fait tout le0112 recrute0312ment de1112 tous les cadre0421s alor0412s","l","R","k",3,1,0
183973,"75csb1",1122,"free","c'est jus0452te quec'était un pe0212tit débutant et qui n'y connai","t","k","s",0,0,1
183980,"75csb1",122,"free","2 suis sûre0412 quec'était trop un test0423.","R","k","s",1,0,1
183985,"75csb1",1422,"free","e0412' parce0352 queje0112 suis sûre0412 que0122 c'était trop un te","s","k","ʒ",1,0,1
183987,"75csb1",1122,"free","en sortant je0112 mesuis dit 'tu es trop conne0412' parce0352 que1422","ʒ","m","s",1,2,1
183990,"75csb1",1122,"free","n fait0412 je0122 mesuis sentie hyper0412 bien et en sortant je0112 m","ʒ","m","s",1,2,1
183991,"75csb1",122,"free","c0411 en fait0412 jeme1122 suis sentie hyper0412 bien et en sortant j","t","ʒ","m",0,1,2
184011,"75csb1",1122,"free","e ah oui> sur0412 lesite0411 internet0411 après non c'est tout.","R","l","s",1,3,1
184014,"75csb1",1222,"free","vais en avoir0412 rete0312nu enfin tu vois","R","R","t",1,1,0
184016,"75csb1",1122,"free","SB : Ce0132 queje0112 pouvais en avoir0412 re1222te0312nu enfin","s","k","ʒ",1,0,1
184020,"75csb1",1122,"free","ais été sur0412 lesite0413.","R","l","s",1,3,1
184022,"75csb1",122,"free","2 lui dire0412 commej'avais été sur0412 le1122 site0413.","R","k","ʒ",1,0,1
184025,"75csb1",1422,"free","Ouais> parce0352 quec'est moi qui avait envie de0112 lui dire0412 com","s","k","s",1,0,1
184029,"75csb1",1122,"free",": 'Qu'est-ce0112 quetu en as re1212te0312nu ?' je0112 fais 'ben voil","s","k","t",1,0,0
184033,"75csb1",1122,"free","is allée sur0412 lesite0411' il m'a fait 'ah bon c'était bien euh'","R","l","s",1,3,1
184038,"75csb1",422,"free","Je0132 lui ai justec'est moi qui lui ai donné des bille0411s en fai","s","t","s",1,0,1
184087,"75ccb2",1122,"free","0411 épreuve0412 demath0411 une0412 dictée euh.","v","d","m",1,0,2
184099,"75ccm1",1122,"free","0132 vais/ je0112 medis bon on est dans le0112 contact un peu (X) che","ʒ","m","d",1,2,0
184106,"75ccm1",1122,"free","tout le0112 monde tevouvoie euh parce0352 que1421 euh.","d","t","v",0,0,1
184232,"75ccm1",422,"free","412s par0411 exemplechez (X).","p","l","ʃ",0,3,1
184235,"75ccm1",422,"free","dépend du contextetu vois alor0412s par0411 exemple0422 chez (X).","s","t","t",1,0,0
184239,"75ccm1",1122,"free","tu attende0412s queles gens te1112 tutoient éventuelle0312ment. E :","d","k","l",0,0,3
184251,"75ccm1",122,"free","c'est clair0412 queça viendra pas de1112/ de1112 toi.","R","k","s",1,0,1
184253,"75ccr1",422,"free","32 sais pas un textedu dix0412-septième0412 non pas le0112 C.A.P.E.S","s","t","d",1,0,0
184257,"75ccr1",1122,"free","la version classique0413.","?","?","l","?","?",3
184298,"75clb1",1422,"free","LB : Parce0352 queles professeur0412s de1112 math0412 s'entende0412","s","k","l",1,0,3
184302,"75clb1",1122,"free","11 initiative0412 dece0112 collège0413.","v","d","s",1,0,1
184335,"75csb1",1422,"free","ie-toi parce0352 quetu as l'impression qu'il0411 est tout jeune0412 q","s","k","t",1,0,0
184337,"75csb1",1122,"free","au début je0112 mesuis dit 'méfie-toi parce0352 que1422 tu as l'im","ʒ","m","s",1,2,1
184351,"75csb1",422,"free","B : Mais là  regardej'ai une0412/ j'ai un exemp0452le tu vois genre04","R","d","ʒ",1,0,1
184370,"75ccb2",1222,"free","se0112 faire0412 reprendre0422 par0411 un.","R","R","p",1,1,0
184371,"75ccb2",422,"free","re0412 re1222prendrepar0411 un.","d","R","p",0,1,0
184389,"75clb1",122,"free","évident que0112 jevais l'avoir0413'. E : Hum hum.","k","ʒ","v",0,1,1
